id,artifact_type_id,artifact_set_id,name,description,star
5517,5,517,無常の面,丁寧に保存された儀式用の狐面。常に奇怪な微笑みを浮かべている。,5
1518,1,518,威厳の鍔,将軍を裏切った鬼人が、かつて授かった美しい鍔。,5
2518,2,518,切落の羽,ある天狗の所有物であった黒羽。昔の剣豪が秘蔵していた記念品。,5
3518,3,518,雷雲の印籠,黒色の細緻な印籠。光り輝く螺鈿と精巧な金物が装飾されている。,5
4518,4,518,緋花の壺,精巧な酒壺。かつて、名が轟く武人の酒用の器だった。,5
5518,5,518,華飾の兜,高貴な武士が着用していた、頑丈で硬い兜。,5
1519,1,519,栄花の期,六枚の花びらを模した小さな金の飾り。枯れることのないその姿は、世の儚い栄華を知り尽くしているようだ。,5
2519,2,519,華館の羽,俗世間より切り離されし館から持ち出された矢羽状の物証。作り手の憐憫により、眠りについたある亡き骸と共に館へと置かれた。,5
3519,3,519,衆生の歌,稲妻にとって舶来の小物。芯部は既に取り外されており、針も回っていない。,5
4519,4,519,夢醒の瓢箪,黒漆と金粉で彩られたひょうたん。本来どのような色だったのかは、もはや知るすべはない。主に演劇の小道具として使われていたようだ。,5
5519,5,519,形骸の笠,かつて放浪者を日の光や雨から守った笠。後に顔や表情を隠すのに役立つ道具となった。,5
1520,1,520,海染の花,多様に変化する海の色を帯びた、しなやかな花。月明かりに照らされると、不思議な色彩を反射する。,5
2520,2,520,淵宮の羽,珊瑚と同じ色をした脆き彩羽。巫女の羽衣に使われていたらしい。,5
3520,3,520,別れの貝,底なしの深き海に由来する、透き通った無垢の貝殻。,5
4520,4,520,真珠の籠,海祇島の巫女たちが祀る真珠。常に微かな光を放っており、その光が弱まることはない。,5
5520,5,520,海祇の冠,忘れ去られた「神人」が所有していた精巧な古の冠。今は海祇の人々によって大切に保管されている。,5
1521,1,521,生霊の華,いにしえの時を思い起こす品。まるで数百年前に保存された生霊のごとく生気を放っている。,5
2521,2,521,潜光の羽,薄暗い質感を持った羽。重々しい記憶を秘めている。,5
3521,3,521,陽轡の遺品,頑丈な見た目をした古代の時計。晶砂の光沢が特徴的。,5
4521,4,521,契約の時,いにしえの晶砂の杯。歳月の侵食を受けてもなお、まだ色褪せてはいないようだ。,5
5521,5,521,虺雷の姿,山民が夜叉のために作ったと言われる冠。古朴な見た目だが、光沢があり艶やかである。,5
1522,1,522,魂香の花,花の形をした宝玉の彫刻。幽幽たる魂の気を纏っている。,5
2522,2,522,垂玉の葉,葉っぱの形をした玉佩。かつて、ある友人たちの間で特別な意味を持っていたようだ。,5
3522,3,522,祭祀の証,円形の玉佩。とある伝説では、儀式を開始する時の証として使われていたという。,5
4522,4,522,湧水の杯,水が永遠に湧き出る杯。恐らくは仙人からの贈り物か遺物、もしくは落とし物だろう。,5
5522,5,522,浮流の対玉,美しい玉石をあしらった耳飾り。優しい温もりが紛れもなく感じられる。,5
1523,1,523,迷宮の遊客,森林王の冠から取れた、装飾用の金の花。,5
2523,2,523,翠蔓の知者,羽毛のように軽やかな翠色の葉っぱ。森の知者の衣服から摘み取られたものである。,5
3523,3,523,賢知の定期,賢知の道を歩む者が使う時計。中に入っているのは生命無き砂ではなく、小さなカラシナの種だ。,5
4523,4,523,迷い人の灯,元々は砂漠風のランプであったが、濃緑色の光を放つ葉っぱが生えてきた。,5
5523,5,523,月桂の宝冠,草木を支配する神より授かりし王冠。かつては迷宮の王の間で代々受け継がれていたが、最後は王の侍従の手に渡った。,5
1524,1,524,夢境の鉄花,色みの暗い金で仕上げられたつぼみ。決して開くことのない花びらは、深紅の芯を包んでいる。,5
2524,2,524,裁断の羽根,かつて罪人の心臓の重さを量るために使われた特製の羽根。今はもう、元の機能を失っている。,5
3524,3,524,深金の歳月,濃い金の光沢を放つ、いにしえの日時計。かつての砂漠を物語っているかのようだ。,5
4524,4,524,甘露の終宴,古代の盛大な宴会で使われた杯。かつての輝きは今や、跡形もない。,5
5524,5,524,砂王の投影,その昔、砂漠の祭司が使っていた金メッキの頭巾。伝説の、砂の民の王が身に着けていた頭巾の形を模している。,5
1525,1,525,諸王の都の始まり,奇妙な輝きを放つ人造の花。耳をすますと、巧笑がかすかに聞こえてくるようだ。,5
2525,2,525,黄金の邦国の結末,透き通った人造の羽。古代の人間の邦国における遺物の一つである。鷹の鳴き声もその中に封じられているようだ。,5
3525,3,525,没落迷途のコア,古代のコア。その中央にはジンニーの欠片が輝き、微かに振動している。それはまるで何かを語っているようだ…,5
4525,4,525,迷酔の長夢の守護,古代の金の盃。その形は奇妙でありながら華やかなもの。空っぽのその中には、囁くような声が響いている。,5
5525,5,525,流砂の嗣君の遺宝,琥珀金で作られた耳飾り。不思議な輝きを放つ宝石が嵌め込まれている。,5
1526,1,526,月娘の華彩,精巧に彫られた紫水晶の花。今はもうほとんど絶滅してしまった古代の花を模している。,5
2526,2,526,落謝の宴席,遠い昔に絶滅した鳥が残した羽。古代の花神の信者によって、華やかな黄金と宝石があしらわれた。,5
3526,3,526,凝結の刹那,砂が流れなくなった砂時計。いくら逆さまにしても、時間は流れない。,5
4526,4,526,守秘の魔瓶,紫色の水晶から彫られた小さな瓶。エメラルドの蓋によりしっかりと密封されている。,5
5526,5,526,紫晶の花冠,紫水晶とエメラルドが散りばめられている冠。古代の花神の祭司が身につけていた髪飾りのようだ。,5
1527,1,527,旅中の花,物語はいつか必ず終わりを告げ、花もやがては散り衰える。しかし、夢で描いた花ならば、永遠に香り高く咲いてくれることだろう。,5
2527,2,527,悪しき魔法使いの羽杖,ドレスハットに飾ってあった鳥の羽。濃い緑色は、さぞ目を惹くものだっただろう。,5
3527,3,527,水仙の一瞬一瞬,とうの昔に止まった懐中時計。虚しく回転しながら、長い歳月を眺めてきたらしい。,5
4527,4,527,勇者たちのお茶会,精巧なティーカップ。誰かと一緒にのんびりとした午後のひと時を過ごしたのだろう。,5
5527,5,527,悪龍の片眼鏡,精巧な片眼鏡。古い噂によると、これを使えば未来の光景が見えるらしい。,5
1528,1,528,霊光起源の蕊,遥か昔の巡礼者がつけていた勲章。華麗な小花である。,5
2528,2,528,霊彩奇麗の羽,繊細な作りをした、羽の装飾品。緑の葉っぱとかぐわしい花の光沢が輝いている。,5
3528,3,528,久遠落花の時,霊光の輝く古い時計。中に入っているのは命があるかのような清潔な液体。,5
4528,4,528,喜楽無限の宴,美酒を入れていた華麗な盃。今はもう空っぽだ。,5
5528,5,528,霊光明滅の心,繊細な作りをした、鮮やかな耳飾り。無数の花が輝きを放っているようだ。,5
1529,1,529,狩人の胸花,過去の戦いにおいて、顕著な功績を残した者に贈られた古い勲章。,5
2529,2,529,傑作の序曲,旧式のクロックワーク·マシナリーのトルクを調整する携帯式工具。今は実用的な価値を失っている。,5
3529,3,529,審判の刻,制式化された懐中時計。その精度は特別高いわけではない。,5
4529,4,529,忘却の容器,強い酒を入れる携帯用の金属容器。コートのポケットに常備しておくのに最適。,5
5529,5,529,老兵の容貌,ある程度、負傷した顔の代わりになる古いマスク。怪我の度合いや使用者の性別によって、さまざまなデザインがある。,5
1530,1,530,黄金の旋律の変奏,硨磲、真珠の母貝、金箔で精巧に作られた花。誇らしげに咲いている。,5
2530,2,530,黄金の飛鳥の落羽,黄金と白銀の糸で作られた鳥の羽根。上にあるサファイアは透き通っている。,5
3530,3,530,黄金の時代の前兆,黄金と白銀を嵌め込んだ美しい日時計。時計盤の時間はとっくに止まっているようだ。,5
4530,4,530,黄金の夜の喧騒,古い形をした銀瓶。かつてはルビーのような美酒で満たされていたが、今では苦い海水となっている。,5
5530,5,530,黄金の劇団の褒賞,古い形をした冠。君主からの冠り物というより、舞台の道具に似ている。,5
